vacancy_id,id,text,type_id,ind
22017476,92,Администратор SAP BO;,2,1211
22017476,93,"Навыки администрирования офисных приложений, серверов приложений, баз данных;",2,1212
22017476,94,Способность решать задачи пользователей;,2,1213
22017476,95,Готовность постоянно развиваться и самостоятельно изучать новое оборудование и программные продукты;,2,1214
22017476,96,Способность оперативно принимать решения;,2,1215
22017476,97,"Целеустремленность, исполнительность, аккуратность.",2,1216
22018532,98,"Поддержка пользователей в части выполнения заявок, связанных с ИТ-инфраструктурой.",1,1219
22018532,99,"Планирование, техническая реализация и администрирование работы компьютерной сети, серверов.",1,1220
22018532,100,"Организация и поддержка единой распределенной сети компании (центральный офис и филиалы), предоставление доступа удалённым пользователям к информационным ресурсам компании.",1,1221
22018532,101,Организация и поддержка основных и резервных каналов связи центрального офиса и филиалов.,1,1222
22018532,102,Организация и администрирование телефонной связи центрального офиса и филиалов.,1,1223
22018532,103,Антивирусная защита рабочих станций.,1,1224
22018532,104,"Обеспечение резервного копирования, реализация схем восстановления работоспособности ИТ-инфраструктуры в случае сбоев, включая оборудование, ПО, каналы связи.",1,1225
22018532,105,Создание и обновление пользовательской документации по ИТ-инфраструктуре и предоставляемым сервисам.,1,1226
22018532,106,Высшее образование.,2,1227
22018532,107,"Опыт работы системным администратором в компании с парком серверов более 20 и распределенной вычислительной сетью, общий стаж в администрировании не менее 3 лет.",2,1228
22018532,108,"Свободное знание и понимание: настройка и администрирование ОС Windows, Linux, Active Directory, DNS, DHCP, Hyper-V, RDS, MS Exchange, серверного оборудования HP, DELL",2,1229
22018532,109,"Отличные знания по организации отказоустойчивых WAN и IPVPN каналов, по сетевой печати, системам резервного копирования и ИБП.",2,1230
22018532,110,"Знание офисных программ (Word, Excel – опытный пользователь).",2,1231
22018532,111,Знание основных линеек серверного оборудования как преимущество.,2,1232
22018532,112,Знание ITIL как преимущество.,2,1233
22018932,113,Комплексное управление созданием интернет-проектов (управление несколькими проектами на всех этапах от проектирования до тестирования и анализа итогов).,1,1234
22018932,114,"Управление персоналом, участвующим в создании сайта (организация и поэтапный контроль работы специалистов (дизайн, программирование, копирайт и т.д.), мотивация проектной команды.",1,1235
22018932,115,Написание проектных документов и утверждение их с заказчиком.,1,1236
22018932,116,"Проектирование сайтов (проектирование структуры сайта, создание прототипов страниц, создание технических заданий для подчиненных).",1,1237
22018932,117,Контроль сроков и качества исполнения собственных поручений и заданий.,1,1238
22018932,118,Поддержка доброжелательных контактов с заказчиками (от начала согласования проекта до его сдачи).,1,1239
22018932,119,Опыт управления проектной группой по созданию сайтов (опыт работы в web-студии обязателен).,2,1240
22018932,120,"Ответственность (это одно из главных требований), умение достигать результата в поставленные сроки.",2,1241
22018932,121,"Знание основных CMS (1C Bitrix, Umi-Cms, Drupal).",2,1242
22018932,122,Также приветствуются знания других CMS на российском и европейском рынках.,2,1243
22018932,123,"Грамотный русский и английский языки (речь, письмо).",2,1244
22018932,124,Отличное знакомство с процессом разработки сложных интернет-проектов.,2,1245
22018932,125,Опыт описания технического задания (опыт описания различных интеграций приветствуется).,2,1246
22018932,126,Твердые знания в области usability пользовательских интерфейсов.,2,1247
22018932,127,Знание современных тенденций в проектировании интерфейсов.,2,1248
22018932,128,"Любовь к деталям, умение обосновывать свою точку зрения.",2,1249
22018932,129,"Опыт ведения и реализации коммерческих проектов в сфере ИТ (Интернет-проектов, программных продуктов, ориентированных на массовый рынок) на всех стадиях производственного цикла (ТЗ, интерфейсы, разработка, верстка, тестирование).",2,1250
22018932,130,"Сильные коммуникативные навыки, умение четко формулировать и ставить задачи, ответственность, динамичность, умение работать в команде.",2,1251
22018932,131,Стремление к повышению профессионального уровня и нацеленность на результат.,2,1252
22018932,132,Дополнительное образование: желательно в области управления проектами.,2,1253
22023008,133,Развитие и техническая поддержка ИТ инфраструктуры на предприятиях группы компаний ИНВЭНТ;,1,1256
22023008,134,Организация технической поддержки информационных систем;,1,1257
22023008,135,Руководство территориально распределенной командой ИТ специалистов численностью 12 сотрудников;,1,1258
22023008,136,Проведение тендеров по выбору поставщиков оборудования и подрядных организаций;,1,1259
22023008,137,Планирование и защита ИТ бюджета компании;,1,1260
22023008,138,Обеспечение снижения затрат на ИТ;,1,1261
22023008,139,"Управление проектами по разработке, внедрению и развитию информационных систем;",1,1262
22023008,140,"Анализ задач группы компаний, формирование предложений по улучшению бизнес-процессов посредством автоматизации, инициация проектов.",1,1263
22023008,141,"Взаимодействие с топ-менеджментом, руководителями структурных подразделений;",1,1264
22023008,142,Образование: Высшее,2,1265
22023008,143,"Опыт в области руководства отделом, службой (от 3 лет)",2,1266
22023008,144,Опыт работы в сфере ИТ в производстве (от 3 лет),2,1267
22023008,145,Обширный кругозор в области современных информационных технологий.,2,1268
22023008,146,Знакомство с основными стратегическими направлениями и тенденциями развития индустрии ИТ.,2,1269
22024055,147,Участие в проектах по внедрению ServiceNow.,1,1270
22024055,148,Доработка и настройка бизнес-приложения.,1,1271
22024055,149,Администрирование системы.,1,1272
22024055,150,Понимание принципов построения архитектуры корпоративных информационных систем.,2,1273
22024055,151,"Знание SQL, навык работы с распространёнными СУБД.",2,1274
22024055,152,"Навыки программирования на JavaScript, знания jQuery и AngularJS будут преимуществом.",2,1275
22024055,153,"Опыт работы с XML, XSLT, HTML, CSS.",2,1276
22030073,154,активное участие в процессе разработки и поддержки специальной и технической документации для программных продуктов компании на английском языке;,1,1281
22030073,155,систематизация документации;,1,1282
22030073,156,взаимодействие с командой разработчиков для уточнения и интерпретации требований к документации.,1,1283
22030073,157,опыт работы техническим писателем от 2-х лет;,2,1284
22030073,158,высшее техническое/лингвистическое образование;,2,1285
22030073,159,отличное знание английского языка (Proficiency or Advanced);,2,1286
