id,label_true_k122,title,KMeans_artm_k37,KMeans_tfidf_k37,KMeans_w2v_k37,Birch_artm_k122,Birch_w2v_k38,Birch_tfidf_k268,AffinityPropagation_artm_k660,AffinityPropagation_tfidf_k1749,AffinityPropagation_w2v_k469,x,y,z
23573086,106,Аналитик - тестировщик ERP,16,16,37,21,10,1,555,1587,381,0.10827253271434366,0.018292277487863946,-0.029466491736361265
23231265,106,Старший системный аналитик (группа развития приложений MIS),17,23,37,18,10,1,474,1555,381,0.1074570946694141,0.03341299348038948,-0.03602749676255078
20121176,106,Аналитик-тестировщик,0,14,37,18,10,1,555,1471,381,0.08186008246147206,0.02122433324188692,-0.031763340242473806
27920761,106,Системный аналитик,19,16,27,22,4,1,553,1650,365,0.1158258678977338,0.007426093645698162,-0.041017160371952056
24845217,106,Менеджер Сектора планирования и управления мощностями и ИТ-ресурсами,19,16,27,22,4,1,599,1474,357,0.08006396301700217,0.0032986000751697663,-0.023115678642009942
20298121,106,Ведущий аналитик,19,16,27,22,4,1,434,1535,365,0.09439614457348437,0.002413690127992578,-0.029547827301636312
25403566,106,Аналитик,19,16,27,22,4,1,507,1392,365,0.10196954036484816,0.005193499837093849,-0.032038691941555564
22093847,106,Data Science/Специалист по разработке и мониторингу моделей,0,16,31,17,4,1,582,1553,350,0.0853270077801444,0.010711256855250994,-0.027834577920716638
20252163,106,Инженер-программист 1С,6,5,9,18,21,121,78,1341,74,0.14414499215214618,-0.04179333264817295,0.05298183999156952
20285466,106,Младший архитектор ИТ-систем,0,16,37,18,8,1,474,1555,350,0.10622504859672575,0.023499840199126466,-0.03001611257648691
20061035,106,Технический писатель,0,20,27,18,4,1,591,1697,350,0.09769099905324757,0.020352014672883417,-0.025477029680839407
20723067,106,Технический писатель,17,14,37,18,10,1,486,119,350,0.06966988264180422,0.01446419686589477,-0.01993734161222225
20731719,106,Аналитик,13,16,27,17,4,1,597,1659,350,0.12589388766417056,0.014185330101269789,-0.03964875677161619
22980183,106,Специалист по моделированию данных,19,14,27,22,4,1,434,1503,365,0.0464781419352824,0.0029737153233281013,-0.016663920587581964
20414711,106,Разработчик SQL,0,16,27,18,4,1,597,1341,350,0.11648994659006569,0.010042331601646772,-0.03430332806854162
